,review_score,delivery_time_days
0,4,8
1,4,13
2,5,9
3,5,13
4,5,2
5,4,16
6,5,9
7,1,9
8,5,18
9,1,12
10,1,12
11,4,5
12,5,12
13,5,4
14,4,11
15,5,13
16,5,12
17,5,6
18,4,13
19,2,21
20,5,4
21,3,4
22,4,18
23,5,4
24,2,28
25,1,12
26,1,12
27,5,9
28,4,14
29,4,30
30,2,8
31,1,18
32,4,22
33,5,18
34,5,1
35,5,30
36,4,20
37,5,7
38,5,17
39,3,10
40,5,11
41,1,33
42,5,7
43,4,9
44,1,10
45,4,10
46,5,3
47,5,4
48,5,6
49,5,12
50,5,7
51,1,5
52,1,5
53,4,19
54,5,4
55,5,7
56,5,3
57,1,24
58,1,24
59,1,23
60,5,5
61,4,4
62,5,5
63,5,7
64,4,18
65,4,2
66,4,2
67,3,9
68,3,9
69,4,10
70,5,4
71,5,4
72,5,4
73,5,4
74,5,5
75,3,9
76,5,3
77,5,6
78,4,9
79,5,17
80,1,19
81,1,19
82,1,19
83,1,19
84,1,19
85,5,10
86,5,10
87,5,9
88,1,6
89,4,2
90,4,2
91,3,2
92,5,18
93,5,4
94,3,8
95,4,20
96,2,23
97,5,11
98,5,13
99,4,17
100,5,10
101,5,24
102,4,3
103,5,20
104,1,16
105,4,19
106,5,7
107,5,13
108,5,4
109,1,36
110,5,10
111,5,13
112,5,2
113,5,6
114,5,3
115,4,7
116,4,9
117,4,12
118,2,11
119,1,3
120,1,56
121,5,1
122,5,5
123,5,5
124,5,6
125,4,12
126,3,54
127,5,1
128,5,1
129,1,15
130,5,7
131,4,21
132,4,21
133,3,6
134,3,6
135,3,6
136,4,11
137,5,5
138,1,27
139,4,6
140,4,6
141,1,1
142,4,5
143,5,7
144,5,5
145,5,5
146,5,11
147,1,9
148,5,3
149,5,6
150,5,8
151,5,8
152,5,8
153,5,2
154,5,2
155,5,2
156,5,7
157,5,7
158,5,8
159,1,6
160,1,6
161,2,8
162,1,28
163,5,14
164,5,15
165,5,10
166,5,4
167,5,4
168,5,4
169,5,4
170,5,4
171,5,4
172,5,5
173,5,15
174,5,17
175,5,17
176,5,9
177,5,23
178,3,11
179,5,7
180,5,8
181,4,3
182,5,3
183,4,14
184,5,15
185,4,14
186,5,18
187,5,4
188,5,4
189,5,5
190,4,20
191,5,6
192,5,8
193,5,19
194,5,10
195,1,8
196,5,2
197,3,5
198,2,5
199,5,10
200,5,12
201,5,13
202,4,21
203,5,5
204,5,2
205,4,19
206,5,20
207,5,7
208,5,10
209,3,10
210,5,11
211,5,11
212,5,10
213,4,12
214,4,12
215,2,10
216,5,9
217,4,4
218,4,8
219,3,8
220,2,7
221,2,7
222,4,22
223,3,11
224,3,11
225,5,3
226,5,4
227,5,6
228,3,26
229,5,6
230,5,7
231,5,8
232,4,18
233,5,7
234,3,7
235,5,11
236,5,10
237,5,1
238,4,5
239,4,13
240,5,20
241,5,15
242,1,10
243,5,7
244,5,16
245,4,12
246,5,12
247,5,14
248,5,11
249,4,8
250,5,15
251,5,9
252,3,8
253,5,6
254,5,16
255,5,6
256,1,12
257,1,12
258,5,9
259,5,13
260,5,6
261,4,10
262,5,12
263,5,24
264,5,24
265,3,10
266,4,7
267,4,13
268,5,10
269,4,12
270,5,13
271,5,1
272,4,9
273,5,8
274,5,6
275,5,6
276,5,6
277,2,6
278,5,19
279,5,16
280,1,81
281,5,9
282,3,10
283,5,6
284,5,6
285,5,6
286,5,7
287,4,12
288,5,3
289,5,8
290,4,4
291,5,17
292,4,10
293,1,22
294,5,12
295,4,7
296,5,14
297,5,12
298,5,4
299,5,13
300,4,22
301,5,19
302,5,2
303,5,9
304,5,20
305,5,23
306,4,22
307,5,10
308,4,4
309,5,11
310,2,13
311,3,24
312,5,20
313,5,14
314,5,12
315,5,28
316,5,9
317,4,1
318,5,5
319,3,14
320,5,8
321,3,6
322,5,26
323,5,11
324,5,11
325,5,31
326,4,11
327,5,13
328,4,1
329,4,10
330,5,6
331,4,7
332,1,9
333,1,9
334,1,9
335,1,9
336,4,15
337,4,15
338,5,4
339,5,23
340,5,2
341,3,17
342,5,8
343,5,7
344,4,8
345,3,20
346,4,12
347,5,5
348,4,6
349,5,7
350,5,2
351,5,16
352,1,27
353,5,10
354,5,30
355,5,2
356,5,2
357,5,13
358,5,8
359,5,14
360,5,18
361,4,7
362,5,12
363,1,11
364,1,11
365,5,17
366,5,13
367,5,8
368,4,5
369,3,3
370,5,19
371,4,8
372,5,11
373,5,9
374,1,34
375,5,6
376,5,9
377,5,10
378,4,2
379,5,6
380,5,14
381,5,11
382,5,11
383,5,16
384,5,6
